text,label
"Congratulations! You have won a $1,000 gift card. Click here to claim your prize!",1
"Dear friend, I hope you are well. Can we schedule a meeting for next week?",0
"Limited time offer! Buy one get one free. Call now to order.",1
"Meeting agenda for tomorrow: 1. Project updates 2. Team feedback",0
"You have been selected for a special offer. Act fast to receive a discount!",1
"Hi, I just wanted to check in and see how you are doing.",0
"Get paid to work from home. No experience required. Start earning today!",1
"Reminder: Your appointment is scheduled for 3 PM tomorrow. Please be on time.",0
"Exclusive deal just for you! 50% off on all items. Shop now!",1
"Here is the report you requested. Let me know if you have any questions.",0